"","plotid","npp_mc"
"293","TREE_050",1.09924509430748
"294","TREE_050",1.0734784691577
"295","TREE_050",0.921843801067762
"296","TREE_050",1.68922923567669
"297","TREE_050",1.39711296256282
"298","TREE_050",1.37815026423544
"299","TREE_050",1.23450417166569
"300","TREE_050",1.26448941261569
"301","TREE_050",1.3377808874172
"302","TREE_050",0.860318243943048
"303","TREE_050",0.913357300045663
"304","TREE_050",1.46130843085679
"305","TREE_050",1.32024460730856
"306","TREE_050",1.23402141274753
"307","TREE_050",1.13350431821722
"308","TREE_050",1.26895628126364
"309","TREE_050",1.54830334469085
"310","TREE_050",1.14595043804849
"311","TREE_050",1.36937157599541
"312","TREE_050",1.49397718766675
"313","TREE_050",1.15232200121643
"314","TREE_050",1.00412663189449
"315","TREE_050",1.35399664759626
"316","TREE_050",0.963963146373847
"317","TREE_050",1.64091670502916
"318","TREE_050",1.13644162656399
